127.0.0.1 - - [22/Feb/2021:10:54:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:35 +0530] "GET /housepricepredictionsystem/admin/index.jsp HTTP/1.1" 200 47475
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:36 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:36 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:47 +0530] "GET /housepricepredictionsystem/admin/datatable.jsp HTTP/1.1" 200 23310
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/css/datatable.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:47 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:58 +0530] "GET /housepricepredictionsystem/admin/residential.jsp HTTP/1.1" 200 26957
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:59 +0530] "GET /housepricepredictionsystem/admin/citiesByState.js HTTP/1.1" 200 14364
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:54:59 +0530] "GET /housepricepredictionsystem/admin/adminResources/img/loading.gif HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:29 +0530] "GET /housepricepredictionsystem/admin/complain.jsp HTTP/1.1" 200 29041
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:30 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:30 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:30 +0530] "GET /housepricepredictionsystem/admin/adminResources/img/loading.gif HTTP/1.1" 404 1120
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:38 +0530] "GET /housepricepredictionsystem/admin/residential.jsp HTTP/1.1" 200 26957
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:38 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-5.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:38 +0530] "GET /housepricepredictionsystem/admin/adminResources/image/user-4.png HTTP/1.1" 404 1122
0:0:0:0:0:0:0:1 - - [22/Feb/2021:10:55:39 +0530] "GET /housepricepredictionsystem/admin/adminResources/img/loading.gif HTTP/1.1" 404 1120
